Date,Source,Boat Name,Trip Type,Anglers,Fish Count
2025-08-27,seaforth,New Seaforth,1/2 Day AM,49,"13 Calico Bass, 8 Sand Bass, 5 Bonito, 1 Rockfish"
2025-08-27,oceanside,Southern Cal,1/2 Day AM,34,"105 Rockfish, 54 Sculpin, 4 Bonito, 1 Whitefish"
2025-08-27,fisherman,Dolphin,1/2 Day PM,14,"150 Calico Bass Released, 44 Calico Bass, 24 Sheephead, 5 Rockfish, 1 Sand Bass, 1 Bonito"
2025-08-27,seaforth,New Seaforth,1/2 Day PM,23,"30 Calico Bass, 9 Bonito, 4 Sand Bass, 4 Yellowtail, 2 Whitefish, 1 Sheephead"
2025-08-27,hmlanding,Premier,1/2 Day PM,18,"88 Calico Bass Released, 31 Calico Bass, 10 Rockfish, 4 Sheephead, 1 Cabezon"
2025-08-27,seaforth,New Seaforth,1/2 Day Twilight,11,"12 Rockfish, 10 Calico Bass, 1 Bonito, 1 Sculpin, 1 Sheephead"
2025-08-27,fisherman,Bight 28 (SD),3/4 Day,2,"10 Yellowtail, 10 Calico Bass"
2025-08-27,oceanside,Sea Star,3/4 Day,12,"168 Calico Bass Released, 55 Barracuda Released, 23 Calico Bass, 4 Sculpin, 3 White Seabass Released, 2 Sheephead, 2 Black Seabass Released"
2025-08-27,hmlanding,Grande,Full Day,23,"73 Whitefish, 25 Rockfish, 13 Calico Bass, 8 Yellowtail"
2025-08-27,seaforth,San Diego,Full Day Coronado Islands,35,"163 Whitefish, 80 Rockfish, 35 Sculpin, 23 Calico Bass, 17 Yellowtail"
2025-08-27,seaforth,Sea Watch,Full Day Coronado Islands,11,"24 Calico Bass, 17 Whitefish, 14 Yellowtail, 6 Sculpin"
2025-08-27,hmlanding,Producer,Overnight,8,0
2025-08-27,hmlanding,Horizon,2 Day,25,60 Bluefin Tuna
2025-08-27,fisherman,Pacific Dawn,2 Day,17,43 Bluefin Tuna (up to 150 pounds)
2025-08-27,seaforth,Highliner,2.5 Day,17,"35 Bluefin Tuna, 9 Yellowtail, 1 Halibut"
2025-08-27,hmlanding,Ocean Odyssey,2.5 Day,18,29 Bluefin Tuna
2025-08-27,hmlanding,Top Gun 80,2.5 Day,25,"22 Bluefin Tuna, 1 Yellowtail"
2025-08-27,seaforth,Aztec,3 Day,17,"57 Bluefin Tuna, 2 Yellowtail"
2025-08-27,seaforth,Polaris Supreme,3 Day,20,114 Bluefin Tuna (up to 180 pounds)
2025-08-27,seaforth,Tribute,3 Day,23,69 Bluefin Tuna (up to 210 pounds)
2025-08-28,fisherman,Dolphin,1/2 Day AM,37,"52 Rockfish, 30 Calico Bass Released, 11 Calico Bass, 6 Bonito, 4 Sheephead, 1 Cabezon"
2025-08-28,seaforth,New Seaforth,1/2 Day AM,26,"6 Bonito, 4 Sheephead, 3 Calico Bass, 3 Yellowtail"
2025-08-28,fisherman,Dolphin,1/2 Day PM,15,"50 Calico Bass Released, 21 Calico Bass, 9 Rockfish, 3 Sheephead, 1 Bonito, 1 Cabezon"
2025-08-28,seaforth,New Seaforth,1/2 Day PM,29,"6 Calico Bass, 3 Bonito, 3 Rockfish, 2 Sand Bass, 1 Sheephead"
2025-08-28,seaforth,New Seaforth,1/2 Day Twilight,11,"6 Rockfish, 3 Calico Bass, 2 Sculpin, 1 Sheephead, 1 Whitefish"
2025-08-28,hmlanding,Grande,Full Day Coronado Islands,21,"45 Barracuda, 37 Whitefish, 18 Calico Bass, 12 Yellowtail, 7 Rockfish"
2025-08-28,pointloma,Mission Belle,Full Day,15,"65 Whitefish, 10 Calico Bass, 4 Sheephead"
2025-08-28,seaforth,San Diego,Full Day Coronado Islands,32,"102 Whitefish, 14 Yellowtail, 6 Calico Bass, 1 Lingcod"
2025-08-28,hmlanding,Producer,Overnight,21,"30 Bocaccio, 15 Rockfish, 11 Red Rockfish, 6 Sculpin, 5 Lingcod, 5 Sheephead, 2 Yellowtail (up to 35 pounds)"
2025-08-28,seaforth,Tribute,Overnight,31,9 Bluefin Tuna
2025-08-28,fisherman,Liberty,1.5 Day,20,39 Bluefin Tuna
2025-08-28,seaforth,Pacifica,1.5 Day,21,42 Bluefin Tuna (up to 220 pounds)
2025-08-28,fisherman,Tradition,1.5 Day,16,"80 Rockfish, 32 Bluefin Tuna"
2025-08-28,fisherman,Constitution,2 Day,16,40 Bluefin Tuna (up to 200 pounds)
2025-08-28,pointloma,New Lo-An,2 Day,21,84 Bluefin Tuna (up to 200 pounds)
2025-08-28,hmlanding,Legend,3.5 Day,21,"72 Bluefin Tuna, 2 Yellowtail"
2025-08-28,fisherman,Pacific Queen,3.5 Day,24,"144 Bluefin Tuna, 22 Yellowtail, 2 White Seabass"
